Designator,Mid X,Mid Y,Rotation,Layer
D1,138.8,-103.4,180.0,top
F1,145.39,-109.0,180.0,top
J2,142.4,-87.75,0.0,top
J3,136.42,-66.8,180.0,top
J4,147.56,-66.8,270.0,top
J5,167.5,-87.7,270.0,top
R1,140.5,-100.0,270.0,top
R2,150.1,-69.8,180.0,top
VR1,128.975,-83.35,180.0,bottom
